name,symbol,sector,exchange,country
AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,AGNCP,Real Estate,NASDAQ,United States
AgriFORCE  Growing Systems Ltd. Common Shares,AGRI,Industrials,NASDAQ,Canada
AgriFORCE  Growing Systems Ltd. Warrant,AGRIW,Industrials,NASDAQ,Canada
Agile Therapeutics Inc. ,AGRX,Health Care,NASDAQ,United States
Agilysys Inc.  (DE),AGYS,Technology,NASDAQ,United States
AdaptHealth Corp. ,AHCO,Health Care,NASDAQ,United States
Akso Health Group ADS,AHG,Consumer Discretionary,NASDAQ,China
Advanced Health Intelligence Ltd. American Depositary Shares,AHI,Consumer Discretionary,NASDAQ,Australia
AIB Acquisition Corporation Class A Ordinary Shares,AIB,Finance,NASDAQ,United States
AIB Acquisition Corporation Unit,AIBBU,Finance,NASDAQ,United States
Aesthetic Medical International Holdings Group Ltd. American Depositary Shares,AIH,Health Care,NASDAQ,China
Senmiao Technology Limited ,AIHS,Finance,NASDAQ,China
Aimfinity Investment Corp. I Unit,AIMAU,Finance,NASDAQ,United States
Aimfinity Investment Corp. I Subunit,AIMBU,Finance,NASDAQ,United States
Ainos Inc. ,AIMD,Health Care,NASDAQ,United States
Ainos Inc. Warrants,AIMDW,Health Care,NASDAQ,United States
Arteris Inc. ,AIP,Technology,NASDAQ,United States
reAlpha Tech Corp. ,AIRE,,NASDAQ,United States
Airgain Inc. ,AIRG,Technology,NASDAQ,United States
AirSculpt Technologies Inc. ,AIRS,Health Care,NASDAQ,United States
Air T Inc. ,AIRT,Consumer Discretionary,NASDAQ,United States
Air T Inc. Air T Funding Alpha Income Trust Preferred Securities,AIRTP,Consumer Discretionary,NASDAQ,United States
AI TRANSPORTATION ACQUISITION CORP Unit,AITRU,,NASDAQ,United States
XIAO-I Corporation American Depositary Shares,AIXI,Technology,NASDAQ,China
Akamai Technologies Inc. ,AKAM,Consumer Discretionary,NASDAQ,United States
Akanda Corp. Common Shares,AKAN,Health Care,NASDAQ,United Kingdom
Akebia Therapeutics Inc. ,AKBA,Health Care,NASDAQ,United States
Akili Inc. ,AKLI,Technology,NASDAQ,United States
Akero Therapeutics Inc. ,AKRO,Health Care,NASDAQ,United States
Akoustis Technologies Inc. ,AKTS,Utilities,NASDAQ,United States
Akari Therapeutics plc ADS,AKTX,Health Care,NASDAQ,United Kingdom
Akoya BioSciences Inc. ,AKYA,Industrials,NASDAQ,United States
Alarum Technologies Ltd. American Depositary Share,ALAR,Technology,NASDAQ,Israel
Avalon GloboCare Corp. ,ALBT,Health Care,NASDAQ,United States
Alico Inc. ,ALCO,,NASDAQ,United States
Alchemy Investments Acquisition Corp 1 Class A Ordinary Shares,ALCY,Finance,NASDAQ,United States
Alchemy Investments Acquisition Corp 1 Units,ALCYU,Finance,NASDAQ,United States
Alchemy Investments Acquisition Corp 1 Warrants,ALCYW,Finance,NASDAQ,United States
Aldeyra Therapeutics Inc. ,ALDX,Health Care,NASDAQ,United States
Alector Inc. ,ALEC,Health Care,NASDAQ,United States
Allegro MicroSystems Inc. ,ALGM,Technology,NASDAQ,United States
Align Technology Inc. ,ALGN,Health Care,NASDAQ,United States
Aligos Therapeutics Inc. ,ALGS,Health Care,NASDAQ,United States
Allegiant Travel Company ,ALGT,Consumer Discretionary,NASDAQ,United States
Alignment Healthcare Inc. ,ALHC,Health Care,NASDAQ,United States
Alimera Sciences Inc. ,ALIM,Health Care,NASDAQ,United States
Alkermes plc Ordinary Shares,ALKS,Health Care,NASDAQ,Ireland
Alkami Technology Inc. ,ALKT,Technology,NASDAQ,United States
Allakos Inc. ,ALLK,Health Care,NASDAQ,United States
Allogene Therapeutics Inc. ,ALLO,Health Care,NASDAQ,United States
Allarity Therapeutics Inc. ,ALLR,Health Care,NASDAQ,United States
Allot Ltd. Ordinary Shares,ALLT,Telecommunications,NASDAQ,Israel
Allient Inc. ,ALNT,Industrials,NASDAQ,United States
Alnylam Pharmaceuticals Inc. ,ALNY,Health Care,NASDAQ,United States
AstroNova Inc. ,ALOT,Technology,NASDAQ,United States
Alpine Immune Sciences Inc. ,ALPN,Health Care,NASDAQ,United States
Alpine 4 Holdings Inc. Class A ,ALPP,Telecommunications,NASDAQ,United States
Alarm.com Holdings Inc. ,ALRM,Technology,NASDAQ,United States
Aileron Therapeutics Inc. ,ALRN,Health Care,NASDAQ,United States
Alerus Financial Corporation ,ALRS,Finance,NASDAQ,United States
Alpha Star Acquisition Corporation Ordinary Shares,ALSA,Finance,NASDAQ,United States
Alpha Star Acquisition Corporation Rights,ALSAR,Finance,NASDAQ,United States
Alpha Star Acquisition Corporation Warrants,ALSAW,Finance,NASDAQ,United States
Altimmune Inc. ,ALT,Health Care,NASDAQ,United States
AlTi Global Inc. Class A ,ALTI,Finance,NASDAQ,United States
Alto Ingredients Inc. ,ALTO,Industrials,NASDAQ,United States
Altair Engineering Inc. Class A ,ALTR,Technology,NASDAQ,United States
Altitude Acquisition Corp. Class A ,ALTU,Finance,NASDAQ,United States
Altitude Acquisition Corp. Unit,ALTUU,Finance,NASDAQ,United States
Altitude Acquisition Corp. Warrant,ALTUW,Finance,NASDAQ,United States
Alvotech Ordinary Shares,ALVO,Health Care,NASDAQ,Luxembourg
Alvotech Warrant,ALVOW,Health Care,NASDAQ,Luxembourg
AlloVir Inc. ,ALVR,Health Care,NASDAQ,United States
ALX Oncology Holdings Inc. ,ALXO,Health Care,NASDAQ,United States
Alithya Group inc. Class A Subordinate Voting Shares,ALYA,Technology,NASDAQ,Canada
Alzamend Neuro Inc. ,ALZN,Health Care,NASDAQ,United States
Amalgamated Financial Corp.  (DE),AMAL,Finance,NASDAQ,United States
Ambrx Biopharma Inc. ,AMAM,Health Care,NASDAQ,United States
Applied Materials Inc. ,AMAT,Technology,NASDAQ,United States
Ambarella Inc. Ordinary Shares,AMBA,Technology,NASDAQ,United States
AMC Networks Inc. Class A ,AMCX,Telecommunications,NASDAQ,United States
Advanced Micro Devices Inc. ,AMD,Technology,NASDAQ,United States
Amedisys Inc ,AMED,Health Care,NASDAQ,United States
Apollo Medical Holdings Inc. ,AMEH,Consumer Discretionary,NASDAQ,United States
Amgen Inc. ,AMGN,Health Care,NASDAQ,United States
Amkor Technology Inc. ,AMKR,Technology,NASDAQ,United States
American Lithium Corp. ,AMLI,Basic Materials,NASDAQ,Canada
Amylyx Pharmaceuticals Inc. ,AMLX,Health Care,NASDAQ,United States
American National Bankshares Inc. ,AMNB,Finance,NASDAQ,United States
Amplitech Group Inc. ,AMPG,Telecommunications,NASDAQ,United States
Amphastar Pharmaceuticals Inc. ,AMPH,Health Care,NASDAQ,United States
Amplitude Inc. Class A ,AMPL,Technology,NASDAQ,United States
A-Mark Precious Metals Inc. ,AMRK,Industrials,NASDAQ,United States
Amarin Corporation plc,AMRN,Health Care,NASDAQ,Ireland
American Superconductor Corporation ,AMSC,Industrials,NASDAQ,United States
AMERISAFE Inc. ,AMSF,Finance,NASDAQ,United States
Amesite Inc. ,AMST,Technology,NASDAQ,United States
American Software Inc. Class A ,AMSWA,Technology,NASDAQ,United States
Applied Molecular Transport Inc. ,AMTI,Health Care,NASDAQ,United States
Aemetis Inc. (DE) ,AMTX,Industrials,NASDAQ,United States
American Woodmark Corporation ,AMWD,Consumer Discretionary,NASDAQ,United States
Amazon.com Inc. ,AMZN,Consumer Discretionary,NASDAQ,United States
AnaptysBio Inc. ,ANAB,Health Care,NASDAQ,United States
Andersons Inc. (The) ,ANDE,Industrials,NASDAQ,United States
Anebulo Pharmaceuticals Inc. ,ANEB,Health Care,NASDAQ,United States
Anghami Inc. Ordinary Shares,ANGH,Consumer Discretionary,NASDAQ,United Arab Emirates
Anghami Inc. Warrants,ANGHW,Consumer Discretionary,NASDAQ,United Arab Emirates
Angi Inc. Class A ,ANGI,Consumer Discretionary,NASDAQ,United States
AngioDynamics Inc. ,ANGO,Health Care,NASDAQ,United States
Anika Therapeutics Inc. ,ANIK,Health Care,NASDAQ,United States
ANI Pharmaceuticals Inc.,ANIP,Health Care,NASDAQ,United States
Anixa Biosciences Inc. ,ANIX,Health Care,NASDAQ,United States
Adlai Nortye Ltd. American Depositary Shares,ANL,,NASDAQ,Cayman Islands
Annexon Inc. ,ANNX,Health Care,NASDAQ,United States
Agriculture & Natural Solutions Acquisition Corporation Unit,ANSCU,,NASDAQ,United States
ANSYS Inc. ,ANSS,Technology,NASDAQ,United States
AirNet Technology Inc. American Depositary Shares,ANTE,Consumer Discretionary,NASDAQ,China
AN2 Therapeutics Inc. ,ANTX,Health Care,NASDAQ,United States
Sphere 3D Corp. Common Shares,ANY,Finance,NASDAQ,Canada
Arogo Capital Acquisition Corp. Class A ,AOGO,Technology,NASDAQ,United States
Arogo Capital Acquisition Corp. Warrant,AOGOW,Technology,NASDAQ,United States
American Oncology Network Inc. Class A ,AONC,Health Care,NASDAQ,United States
American Oncology Network Inc. Warrant,AONCW,Health Care,NASDAQ,United States
Alpha and Omega Semiconductor Limited Common Shares,AOSL,Technology,NASDAQ,Bermuda
American Outdoor Brands Inc.  ,AOUT,Industrials,NASDAQ,United States
APA Corporation ,APA,Energy,NASDAQ,United States
StoneBridge Acquisition Corporation Class A Ordinary Shares,APAC,Finance,NASDAQ,United States
StoneBridge Acquisition Corporation Warrant,APACW,Finance,NASDAQ,United States
AppTech Payments Corp. ,APCX,Finance,NASDAQ,United States
AppTech Payments Corp. Warrant,APCXW,Finance,NASDAQ,United States
Applied DNA Sciences Inc. ,APDN,Health Care,NASDAQ,United States
American Public Education Inc. ,APEI,Real Estate,NASDAQ,United States
Apogee Therapeutics Inc. ,APGE,Health Care,NASDAQ,United States
Agora Inc. American Depositary Shares,API,Technology,NASDAQ,China
Applied Digital Corporation ,APLD,Finance,NASDAQ,United States
Apollomics Inc. Class A Ordinary Shares,APLM,Finance,NASDAQ,United States
Apollomics Inc. Warrant,APLMW,Finance,NASDAQ,United States
Apellis Pharmaceuticals Inc. ,APLS,Health Care,NASDAQ,United States
Applied Therapeutics Inc. ,APLT,Health Care,NASDAQ,United States
Aptorum Group Limited Class A Ordinary Shares,APM,Health Care,NASDAQ,Hong Kong
Apogee Enterprises Inc. ,APOG,Consumer Discretionary,NASDAQ,United States
Applovin Corporation Class A ,APP,Technology,NASDAQ,United States
AppFolio Inc. Class A ,APPF,Technology,NASDAQ,United States
Appian Corporation Class A ,APPN,Technology,NASDAQ,United States
Digital Turbine Inc. ,APPS,Miscellaneous,NASDAQ,United States
Aprea Therapeutics Inc. ,APRE,Health Care,NASDAQ,United States
Alpha Partners Technology Merger Corp. Class A Ordinary Shares,APTM,,NASDAQ,United States
Aptose Biosciences Inc. Common Shares,APTO,Health Care,NASDAQ,Canada
Aptevo Therapeutics Inc. ,APVO,Health Care,NASDAQ,United States
Asia Pacific Wire & Cable Corporation Ltd. Ordinary Shares (Bermuda),APWC,Industrials,NASDAQ,Taiwan
APx Acquisition Corp. I Class A Ordinary Share,APXI,Finance,NASDAQ,Mexico
Apyx Medical Corporation ,APYX,Health Care,NASDAQ,United States
AquaBounty Technologies Inc. ,AQB,Consumer Staples,NASDAQ,United States
Aqua Metals Inc. ,AQMS,Industrials,NASDAQ,United States
Aquestive Therapeutics Inc. ,AQST,Health Care,NASDAQ,United States
Aquaron Acquisition Corp. ,AQU,Finance,NASDAQ,United States
Aquaron Acquisition Corp. Rights,AQUNR,Finance,NASDAQ,United States
Aquaron Acquisition Corp. Units,AQUNU,Finance,NASDAQ,United States
Aravive Inc. ,ARAV,Health Care,NASDAQ,United States
Accuray Incorporated ,ARAY,Health Care,NASDAQ,United States
ARB IOT Group Limited Ordinary Shares,ARBB,Technology,NASDAQ,Malaysia
Arbe Robotics Ltd. Ordinary Shares,ARBE,Technology,NASDAQ,Israel
Arbe Robotics Ltd. Warrant,ARBEW,Technology,NASDAQ,Israel
Argo Blockchain plc American Depositary Shares,ARBK,Finance,NASDAQ,United Kingdom
Argo Blockchain plc 8.75% Senior Notes due 2026,ARBKL,Technology,NASDAQ,United Kingdom
ArcBest Corporation ,ARCB,Industrials,NASDAQ,United States
Ares Capital Corporation ,ARCC,Finance,NASDAQ,United States
Arco Platform Limited Class A Common Shares,ARCE,Real Estate,NASDAQ,Brazil
Arcturus Therapeutics Holdings Inc. ,ARCT,Health Care,NASDAQ,Israel
Ardelyx Inc. ,ARDX,Health Care,NASDAQ,United States
American Rebel Holdings Inc. ,AREB,Industrials,NASDAQ,United States
American Rebel Holdings Inc. Warrants,AREBW,Industrials,NASDAQ,United States
American Resources Corporation Class A ,AREC,Energy,NASDAQ,United States
argenx SE American Depositary Shares,ARGX,Health Care,NASDAQ,Netherlands
Arhaus Inc. Class A ,ARHS,Consumer Discretionary,NASDAQ,United States
Arisz Acquisition Corp. ,ARIZ,Finance,NASDAQ,United States
Arisz Acquisition Corp. Right,ARIZR,Finance,NASDAQ,United States
Arisz Acquisition Corp. Warrant,ARIZW,Finance,NASDAQ,United States
ARKO Corp. ,ARKO,Energy,NASDAQ,United States
ARKO Corp. Warrant,ARKOW,Energy,NASDAQ,United States
Ark Restaurants Corp. ,ARKR,Consumer Discretionary,NASDAQ,United States
Alliance Resource Partners L.P. Common Units representing Limited Partners Interests,ARLP,Energy,NASDAQ,United States
Arm Holdings plc American Depositary Shares,ARM,,NASDAQ,United Kingdom
Arrow Financial Corporation ,AROW,Finance,NASDAQ,United States
Arqit Quantum Inc. Ordinary Shares,ARQQ,Technology,NASDAQ,United Kingdom
Arqit Quantum Inc. Warrants,ARQQW,Technology,NASDAQ,United Kingdom
Arcutis Biotherapeutics Inc. ,ARQT,Health Care,NASDAQ,United States
Arrowroot Acquisition Corp. Class A ,ARRW,Finance,NASDAQ,United States
Arrowroot Acquisition Corp. Unit,ARRWU,Finance,NASDAQ,United States
Arrowroot Acquisition Corp. Warrant,ARRWW,Finance,NASDAQ,United States
Array Technologies Inc. ,ARRY,Technology,NASDAQ,United States
Artelo Biosciences Inc. ,ARTL,Health Care,NASDAQ,United States
Artelo Biosciences Inc. Warrant,ARTLW,Health Care,NASDAQ,United States
Artesian Resources Corporation Class A ,ARTNA,Utilities,NASDAQ,United States
Art's-Way Manufacturing Co. Inc. ,ARTW,Industrials,NASDAQ,United States
Arrival Ordinary Shares,ARVL,Consumer Discretionary,NASDAQ,Luxembourg
Arvinas Inc. ,ARVN,Health Care,NASDAQ,United States
Arrowhead Pharmaceuticals Inc. ,ARWR,Health Care,NASDAQ,United States
ARYA Sciences Acquisition Corp IV Class A Odinary Shares,ARYD,Health Care,NASDAQ,United States
A SPAC I Acquisition Corp. Class A Ordinary Share,ASCA,Finance,NASDAQ,Singapore
A SPAC I Acquisition Corp. Right,ASCAR,Finance,NASDAQ,Singapore
A SPAC I Acquisition Corp. Warrant,ASCAW,Finance,NASDAQ,Singapore
A SPAC II Acquisition Corp. Ordinary Shares,ASCB,Finance,NASDAQ,Singapore
AerSale Corporation ,ASLE,Consumer Discretionary,NASDAQ,United States
ASLAN Pharmaceuticals Limited American Depositary Shares,ASLN,Health Care,NASDAQ,Singapore
Assembly Biosciences Inc. ,ASMB,Health Care,NASDAQ,United States
ASML Holding N.V. New York Registry Shares,ASML,Technology,NASDAQ,Netherlands
Ascendis Pharma A/S American Depositary Shares,ASND,Health Care,NASDAQ,Denmark
Actelis Networks Inc. ,ASNS,Telecommunications,NASDAQ,United States
Academy Sports and Outdoors Inc. ,ASO,Consumer Discretionary,NASDAQ,United States
ASP Isotopes Inc. ,ASPI,Industrials,NASDAQ,United States
Altisource Portfolio Solutions S.A. ,ASPS,Consumer Discretionary,NASDAQ,Luxembourg
Assertio Holdings Inc. ,ASRT,Health Care,NASDAQ,United States
AmeriServ Financial Inc. ,ASRV,Finance,NASDAQ,United States
Asset Entities Inc. Class B ,ASST,Technology,NASDAQ,United States
Astrotech Corporation (DE) ,ASTC,Industrials,NASDAQ,United States
Astec Industries Inc. ,ASTE,Industrials,NASDAQ,United States
Ascent Solar Technologies Inc. ,ASTI,Technology,NASDAQ,United States
Algoma Steel Group Inc. Common Shares,ASTL,Industrials,NASDAQ,Canada
Algoma Steel Group Inc. Warrant,ASTLW,Industrials,NASDAQ,Canada
Astra Space Inc. Class A ,ASTR,Consumer Discretionary,NASDAQ,United States
AST SpaceMobile Inc. Class A ,ASTS,Consumer Discretionary,NASDAQ,United States
AST SpaceMobile Inc. Warrant,ASTSW,Consumer Discretionary,NASDAQ,United States
Asure Software Inc ,ASUR,Technology,NASDAQ,United States
Amtech Systems Inc. ,ASYS,Technology,NASDAQ,United States
ATAI Life Sciences N.V. Common Shares,ATAI,Health Care,NASDAQ,Germany
Aurora Technology Acquisition Corp. Class A Ordinary Shares,ATAK,Finance,NASDAQ,United States
Aurora Technology Acquisition Corp. Rights,ATAKR,Finance,NASDAQ,United States
Aurora Technology Acquisition Corp. Unit,ATAKU,Finance,NASDAQ,United States
Aurora Technology Acquisition Corp. Warrants,ATAKW,Finance,NASDAQ,United States
Atour Lifestyle Holdings Limited American Depositary Shares,ATAT,Consumer Discretionary,NASDAQ,China
Atlas Corp. 7.125% Notes due 2027,ATCOL,Basic Materials,NASDAQ,United Kingdom
Alphatec Holdings Inc. ,ATEC,Health Care,NASDAQ,United States
Aterian Inc. ,ATER,Consumer Discretionary,NASDAQ,United States
Anterix Inc. ,ATEX,Telecommunications,NASDAQ,United States
